"_id","created_on","date_time","node_id","ppl_in","ppl_out"
"ObjectId(""5974d36f901f02040e005025"")","ISODate(""2017-07-24T00:48:00.000+08:00"")","1500830467616","114","0","0"
"ObjectId(""5974d375901f022c0e0083e6"")","ISODate(""2017-07-24T00:48:00.000+08:00"")","1500830473803","109","0","0"
"ObjectId(""5974d39c901f02040e00502b"")","ISODate(""2017-07-24T00:49:00.000+08:00"")","1500830512736","112","0","0"
"ObjectId(""5974d3b3901f023c0e00399d"")","ISODate(""2017-07-24T00:49:00.000+08:00"")","1500830536286","111","0","0"
"ObjectId(""5974d3f5901f02000e004d7d"")","ISODate(""2017-07-24T00:51:00.000+08:00"")","1500830601604","101","0","0"
"ObjectId(""5974d406901f02040e005031"")","ISODate(""2017-07-24T00:51:00.000+08:00"")","1500830618781","110","0","0"
"ObjectId(""5974d49b901f02040e00503c"")","ISODate(""2017-07-24T00:53:00.000+08:00"")","1500830767815","114","0","0"
"ObjectId(""5974d4a1901f022c0e0083ed"")","ISODate(""2017-07-24T00:53:00.000+08:00"")","1500830773976","109","0","0"
"ObjectId(""5974d4c8901f023c0e0039a7"")","ISODate(""2017-07-24T00:54:00.000+08:00"")","1500830812744","112","0","0"
"ObjectId(""5974d4df901f022c0e0083f1"")","ISODate(""2017-07-24T00:54:00.000+08:00"")","1500830836344","111","0","0"
"ObjectId(""5974d532901f02040e005045"")","ISODate(""2017-07-24T00:56:00.000+08:00"")","1500830918829","110","0","0"
"ObjectId(""5974d5c7901f023c0e0039b3"")","ISODate(""2017-07-24T00:58:00.000+08:00"")","1500831067976","114","0","0"
"ObjectId(""5974d5ce901f022c0e0083fc"")","ISODate(""2017-07-24T00:58:00.000+08:00"")","1500831074119","109","0","0"
"ObjectId(""5974d5f4901f022c0e0083fe"")","ISODate(""2017-07-24T00:59:00.000+08:00"")","1500831112870","112","0","0"
"ObjectId(""5974d60c901f02040e00504b"")","ISODate(""2017-07-24T00:59:00.000+08:00"")","1500831136380","111","0","0"
"ObjectId(""5974d65b901f02f00d005173"")","ISODate(""2017-07-24T01:01:00.000+08:00"")","1500831201624","101","0","0"
"ObjectId(""5974d65b901f02040e005052"")","ISODate(""2017-07-24T01:01:00.000+08:00"")","1500830901624","101","0","0"
"ObjectId(""5974d65d901f02e00d004cae"")","ISODate(""2017-07-24T01:01:00.000+08:00"")","1500831218912","110","0","0"
